Sl No,Stock,Market Cap,ROE Ann  %,Industry ROE,Industry ROCE,Industry ROA,Industry PBV TTM,Industry PEG TTM,Industry PE TTM,Industry Score,Industry Market Cap ,Sector Market Cap ,Sector Score,Sector PE TTM,Sector PEG TTM,Sector PBV TTM,Sector ROE,Sector ROCE,Sector ROA,ROCE Ann  %,ROCE Ann  3Y Avg %,ROCE Ann  5Y Avg %,ROCE Ann  1Y Ago %,LT Debt To Equity Ann ,LT Debt To Equity Ann  1Y Ago,Total Debt to Total Equity Ann ,Interest Ann ,Interest Ann  1Y Ago,Interest Ann  2Y Ago,Interest Ann  3Y Ago,Interest Ann  4Y Ago,Interest Ann  5Y Ago,Interest TTM,Interest Coverage Ratio Ann ,Interest Coverage Ratio Ann  1Y Ago,Interest Coverage Post Tax Ann  %,FC Est  1Q fwd Interest Expense Qtr,NSE Code,BSE Code,ISIN,Gross NPA ratio Qtr %,Gross NPA ratio 4Q Ago %,Gross NPA ratio 8Q Ago %,Gross NPA Ratio Qtr 1Q ago %,Gross NPA ratio % Qtr QoQ change,Rev  Gross From Operations Ann ,Rev  Net From Operations Ann ,Capital Adequacy Ratios Ann  %,Profit From Continuing Operations Ann ,Working Capital Turnover Ann ,Operating Rev  growth TTM %,ROE Ann  %,ROE Ann  1Y Ago %,ROE Ann  2Y Ago %,ROE Ann  3Y Ago %,ROE Ann  4Yr Ago %,ROE Ann  5Y Ago %,ROCE Ann  %,ROCE Ann  1Y Ago %,RoA Ann  %,RoA Ann  1Y Ago %,RoA Ann  2Y Ago %,RoA Ann  3Y Ago %,RoA Ann  4Yr Ago %,RoA Ann  5Y Ago %,EPS TTM Growth %,Interest Coverage Ratio Ann ,OPM Ann  %,NPM Ann  %,Net Profit Per Share Ann ,Interest Coverage Post Tax Ann  %,Cash Flow Return on Assets Ann ,Cash Flow Return on Assets Ann  1Y ago,Current Ratio Ann ,Book Value Inc Reval Reserve Ann ,Promoter holding latest %,Promoter holding change QoQ %,Promoter holding change 1Y %,Promoter holding change 2Y %,Promoter holding pledge percentage % Qtr,Promoter pledge change QoQ %,Basic EPS TTM 1Y Ago,Basic EPS TTM,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,Basic EPS Ann  5Y Ago,Basic EPS Ann  4Y Ago,Basic EPS Ann  3Y Ago,Basic EPS Ann  2Y Ago,Basic EPS Ann  1Y Ago,Basic EPS Ann ,EPS Ann ,Cash EPS Ann ,Cash EPS Ann  1Y Ago,Cash EPS 1Y Growth %,Cash EPS 3Y Growth %,Cash EPS 5Y Growth %,EPS TTM Growth %,EPS Qtr YoY Growth %,Basic EPS QoQ Growth %,Cash EPS Ann  3Y ago,Cash EPS Ann  5Y ago,FC Est  1Q fwd EPS Qtr,FC Est  1Q fwd Cash EPS Qtr,Price To Sales Ann ,Market Cap Per Sales Ann ,EV Per Net Sales Ann ,Graham Ratio,Price to Cashflow from Operations,Price to Sales TTM,Operating Profit 6Qtr Ago,Operating Profit 7Qtr Ago,Operating Profit Qtr,Operating Profit 1Q Ago,Operating Profit 2Q Ago,Operating Profit 3Q Ago,Operating Profit 4Q Ago,Operating Profit Ann  3Y Ago,Operating Profit Ann  4Y ago,Operating Profit Ann  5Y Ago,Operating Profit Ann ,Operating Profit Ann  1Y Ago,Operating Profit Ann  2Y ago,Operating Profit Margin Qtr %,OPM 1Q ago %,OPM Qtr 4Qtr ago %,Net Profit Qtr,Net Profit 1Q Ago,Net Profit 2Q Ago,Net Profit 3Q Ago,Net Profit 4Q Ago,Net Profit 5Q Ago,Net Profit 6Q Ago,Net Profit 7Q Ago,Net Profit 8Q Ago,Reported PAT Qtr,Net Profit Ann ,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Operating Profit Growth Qtr YoY %,Operating Profit TTM 1Y Ago,Operating Profit TTM,Profit Before Tax Qtr,PBT 1Q Ago,PBT 4Q Ago,PBT Ann ,PBT Ann  1Y Ago,Total Profit Loss Ann ,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,NPM 4Q ago %,NPM 1Q ago %,NPM Qtr %,NPM Ann  1Y ago %,NPM TTM %,Net Profit TTM 5Q Ago,Net Profit TTM 4Q Ago,Net Profit TTM 3Q Ago,OPM Qtr 4Qtr ago %,OPM 1Q ago %,Operating Profit Margin Qtr %,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,OPM TTM %,PEG TTM,EBITDA Qtr,EBITDA 1Q Ago,EBITDA 2Q Ago,EBITDA 3Q Ago,EBITDA 4Q Ago,EBITDA Ann  1Y Ago,EBITDA Ann ,EBITDA TTM,EBITDA Ann  margin %,EBITDA Qtr YoY Growth %,EBITDA Qtr growth YoY %,EBITDA Ann  Margin %,EBIT Ann  Margin %,EV Per EBITDA Ann ,FC Est  1Q forward EBIT Qtr,FC Est  1Q fwd EBITDA Qtr,Altman Zscore,Tobin Q Ratio,Piotroski Score,Graham No ,Valuation Score,Prev Month TL Valuation Score,Durability Score,Prev Month TL Durability Score,Prev Week TL Durability Score,Prev Week TL Valuation Score,Momentum Score,Norm  Momentum Score,Prev Week TL Momentum Score,Prev Month TL Momentum Score,SWOT Strengths,SWOT Weakness,SWOT Threats,SWOT Opportunities,TL Checklist Positive Score,TL Checklist Negative Score
50,TVS Motor Company,168646.42,26.29,22.72,25.41,12.76,10.38,1.83,39.02,55.28,770865.62,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,22.9,21.96,19.37,22.1,1.64,1.86,3.25,2093.25,1927.72,1367.89,940.22,881.49,854.54,2192.77,3.21,2.93,2.16,45.5,TVSMOTOR,532343,INE494B01023,0,0,0,0,0,42685.85,42685.85,,2424.02,15.71,16.89,26.29,24.85,24.13,17.2,15.52,19.03,22.9,22.1,4.66,3.99,3.77,2.79,2.7,3.22,38.82,3.21,,5.06,51.65,2.16,0.07,-0.03,1.12,178.98,50.27,0,0,0,0,0,39.72,55.14,16.74,12.84,13.64,11.91,11.8,13.15,12.51,15.93,27.97,35.5,47.05,47.05,73.66,58.87,25.11,137.86,188.88,38.82,41.86,30.37,30.97,25.5,20.45,,2.61,2.61,3.16,7.71,48.14,3.45,1484.97,1487.97,2122.36,1813.84,1919.7,1664.95,1642.37,2754.63,2237.83,2273.05,6648.72,5543.41,4067.38,15.1,14.86,14.53,795.48,610.04,648.16,566.03,560.49,460.88,386.98,478.75,386.34,845.02,2235.56,1686.37,1328.67,756.82,594.26,624.62,29.23,6080.22,7520.85,1235.55,988.11,906.35,3579.47,2746.39,,0.57,15.06,14.12,4.96,5,5.66,4.3,5.35,1712.95,1887.1,1974.38,14.53,14.86,15.1,0.57,,14.12,15.37,1.66,2108.36,1853.5,1862.35,1730.06,1674.68,5649.23,6718.28,7554.27,15.21,25.9,25.9,15.23,12.86,20.71,1387.95,1547.53,4.24,19.83,8,460.37,32,32.5,90,90,90,31.83,52.7,59.22,60.18,69.83,24,8,1,7,15,8
51,Tech Mahindra,166664.08,15.53,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,18.74,17.32,19.26,11.7,0,0,0.02,321.7,392.2,325.6,162.6,174,191.9,333.9,24.31,13.83,14.19,78.8,TECHM,532755,INE669C01036,0,0,0,0,0,52988.3,52988.3,,4244.4,4.89,5.05,15.53,8.84,17.3,20.7,17.81,18.48,18.74,11.7,9.55,5.42,10.46,12.4,11.15,10.79,23.44,24.31,,7.9,47.97,14.19,0.13,0.15,1.87,309.24,34.98,0,-0.03,-0.13,0,0,38.23,47.19,12.66,13.48,12.87,13.17,11.1,45.85,50.19,62.81,54.76,26.66,48,47.91,68.91,47.62,44.7,-15.39,12.3,23.44,14.05,-6.08,81.45,61.37,17.53,24.73,2.37,2.37,2.3,2.96,28.81,3.02,1564.5,1099.1,2365.6,2168,1935.2,1840.1,1809,8020,6796.3,5508.6,6963.8,4506.3,8028.8,16.44,15.49,13.62,1122,1194.5,1140.6,1166.7,983.2,1250.08,851.5,661,510.46,1117.7,4251.5,2357.8,4831.3,5566.1,4428,4033,30.77,6222.78,8308.9,1504.2,1662.1,1290.8,5644.6,3213.9,,2.82,12.93,8.52,7.4,8.54,7.8,4.46,8.39,3273.04,3745.78,4251.48,13.62,15.49,16.44,2.82,,8.52,15.07,1.54,2071.5,2208,2153.5,2012.8,1825.5,5423.2,7819.2,8445.8,14.52,13.48,13.48,14.75,11.25,15.58,1973.58,2462.61,8.01,6.09,8,574.76,37,41.67,80,80,80,39.5,63.32,71.15,56.94,55.5,22,5,1,9,16,7
52,Tata Motors CV,165410.33,-362.96,20.04,16.95,6.54,10.65,2.17,34.05,33.11,392020.22,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,-362.96,0,0,,0,,0,0,,,,,,,0,,0,,TMCV,544569,INE1TAE01010,0,0,,0,0,0,0,,-0.08,0,,-362.96,,,,,,-362.96,,-78.4,,,,,,,0,,,-1.57,0,0,,1.28,0.43,42.56,,,,0,,0,,-2.77,3.83,,,1.75,,,,,,-1.75,-1.75,-1.57,,,,,,-258.29,-172.32,,,,,0,0,0,,,,,,2077,1987,0,,1641,,,,-0.08,0,,12.32,12.67,10.57,-1021,1411,,,643,,,,,-1021,-0.08,,,,,,26.57,0,,-609,1625,1089,-0.08,,,1.74,,,4.14,9,-6.06,,,,,,10.57,12.67,12.32,1.74,,,,,-11,2222,0,,1784,0,-0.08,,,-100.62,-100.62,0,0,,,,,7657885.49,2,,0.5,0.83,,,,0.67,25.54,28.7,18.88,11.19,15,6,0,9,6,5
53,Jio Financial ,160670.95,1.3,14.64,34.75,7.08,4.09,1.43,27.24,38.76,1941484.5,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,1.2,0.77,0,1.06,0,0,0.03,7.65,10.27,0,,,,454.65,207.09,151.82,160.45,,JIOFIN,543940,INE758E01017,0,0,0,0,0,2042.91,2042.91,,1612.59,0.02,51.85,1.3,1.15,0.02,,,,1.2,1.06,1.2,1.1,0.02,,,,-0.14,207.09,,77.57,2.54,160.45,-0.08,0,30.42,194.39,47.12,0,0,0,0,0,2.53,2.53,0.42,1.1,0.47,0.5,0.46,,,,60.46,2.53,2.54,2.54,2.57,2.56,0.55,,,-0.14,-8.7,-61.82,,,,,70.73,70.72,70.67,2.3,-15.93,53.77,343.86,320.34,554.91,688.46,456.88,337.99,313.36,,,,1548.25,1558.36,46.13,61.6,70.15,71.49,268.98,695.04,324.66,316.11,294.78,689.07,312.63,310.63,293.82,233.02,1612.59,1604.55,31.25,,,,77.08,1530.6,2038.24,335.13,565.9,318.14,1946.91,1955.89,,-9.89,74.47,84.02,67.25,70.82,29.86,86.51,53.71,1606.15,1607.11,1612.59,71.49,70.15,61.6,-9.89,,84.02,68.21,-693.88,555.06,709.47,492.45,363.11,323.9,1559.16,1584.26,2120.09,76.21,71.37,71.37,77.54,76.44,91.13,,,10.87,1.3,5,109.79,25.33,24.17,60,60,60,24.5,34.85,39.16,39.22,50.75,10,13,2,7,12,11
54,Varun Beverages,160340.09,15.62,15.51,21.05,10.5,14.35,2.63,46.66,52.2,208724.96,1094942.25,51.72,27.62,1.64,7.98,27.24,25.08,20.3,20.86,25.67,21.39,27.26,0.05,0.46,0.14,450.39,268.1,186.12,184.7,281.1,309.64,231.89,10.73,13.76,6.85,40,VBL,540180,INE200M01039,0,0,0,0,0,19918.72,19445.05,,2635.76,6.03,11.5,15.62,29.64,29.34,17.01,9.33,14.09,20.86,27.26,11.21,13.53,12.88,7.24,3.88,5.59,16.86,10.73,,12.89,7.79,6.85,0.15,0.16,1.74,49.12,59.44,0,-0.76,-3.65,0.04,0,7.51,8.78,2.19,3.89,2.15,0.56,1.91,16.83,11.4,16.03,23.05,15.83,7.95,7.95,10.6,21.42,-50.54,-64.08,-68.02,16.86,14.66,-43.7,29.5,33.13,0.78,,10.79,10.79,10.79,6.46,47.42,7.57,988.76,418.29,1147.38,1998.77,1263.96,579.97,1151.12,1654.64,1201.87,1447.65,4711.07,3609.48,2788.1,23.43,28.48,23.96,741.19,1317.02,726.49,185.15,619.61,1252.6,537.27,131.97,501.07,746.87,2594.63,2055.92,1497.43,694.05,329,468.98,-0.33,4549.39,4990.08,942.59,1733.23,800.23,3434.57,2739.84,,-0.53,23.4,22.39,12.9,18.77,15.14,12.75,14.03,2422.91,2541.46,2594.63,23.96,28.48,23.43,-0.53,,22.39,23.57,3.2,1295.4,2075.93,1292.02,624.61,1175.37,3688.84,4832.34,5287.96,24.01,10.21,10.21,24.15,19.41,44.69,342.83,648.88,16.71,9.65,5,73.45,28.5,29,60,55,55,27.83,46.97,52.78,58.72,53.95,12,11,1,7,10,13
55,Divi's Laboratories,159586.45,14.63,17.77,23.04,11.97,7.18,2.43,39.2,52.58,2210280.25,2288312.27,52.39,39.19,2.43,7.04,17.43,22.6,11.73,18.85,17.29,21.94,15.26,0,0,0,2,3,0.67,0.8,0.87,6.1,12,1660,848,1096.5,,DIVISLAB,532488,INE361B01024,0,0,0,0,0,9325,9325,,2191,1.13,16.43,14.63,11.78,14.28,25.24,21.34,18.83,18.85,15.26,12.93,10.34,12.62,22.13,18.41,16.12,35.35,1660,,22.56,82.68,1096.5,0.1,0.08,6.94,564.87,51.88,-0.01,-0.01,-0.04,0,0,69.16,93.61,25.97,20.49,24.93,22.2,19.2,51.85,74.75,111.52,68.69,60.27,82.53,82.53,97.85,74.64,31.09,-20.62,66.2,35.35,35.26,26.74,123.26,58.87,23.28,,16.34,16.34,15.95,5.43,96.54,15.91,731,489,888,729,886,743,716,3881.94,2859.94,1822.17,2968,2205,2367.82,32.71,30.25,30.62,689,545,662,589,510,430,538,358,348,689,2191,1600,1823.38,2960.45,1984.29,1376.54,24.02,2558,3246,912,733,722,2916,2163,,2.08,30.56,26.94,21.81,22.61,25.38,19.55,24.78,1674,1836,2067,30.62,30.25,32.71,2.08,,26.94,32.37,1.82,1033,848,972,825,822,2544,3320,3678,34.18,25.67,25.67,35.47,31.17,44.96,752.35,850.94,50.84,10.64,7,1106.8,26,25.67,70,75,75,25.67,42.06,47.26,44.6,53.53,13,10,2,3,14,9
56,HDFC Life Insurance ,153643.82,11.2,24.64,1.06,0.65,7.21,3.37,79.71,50.56,1023602.32,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,0.4,0.44,0.6,0.35,0.18,0.06,0.18,127.46,80.01,82.41,25.57,18.43,17.02,0,11.52,13.9,14.8,,HDFCLIFE,540777,INE795G01014,0,0,0,0,0,69836.97,69836.97,,1810.82,303.61,2.94,11.2,10.73,10.53,8.5,12.15,19.07,0.4,0.35,0.51,0.52,0.55,0.57,0.75,0.98,8.19,11.52,,1.86,8.41,14.8,0.04,0.04,1.03,75.03,50.21,-0.04,-0.11,-0.16,0,0,8.1,8.76,1.94,2.08,2.55,2.21,1.96,6.42,6.73,6.48,6.41,7.31,8.41,8.41,8.89,7.68,15.69,35.76,33.5,8.19,-1.02,-6.73,6.55,6.66,2.12,,1.52,1.52,1.53,5.86,9.85,1.48,607.41,245.42,117.62,-72.77,156.41,293.53,156.3,740.88,1360.29,938.01,1102.76,586.99,52.07,0.4,-0.35,0.9,418.19,448.29,548.35,475.36,421.31,435.18,478.97,411.64,367.54,418.19,1810.82,1574.08,1368.28,1326.93,1360.87,1297.44,-24.75,824.44,494.79,292.04,84.05,127,1238.42,953.32,,-0.5,1.13,0.58,2.44,2.17,1.42,1.54,1.82,1693.33,1747.1,1810.82,0.9,-0.35,0.4,-0.5,,0.58,0.48,9.92,445.2,471.48,603.8,500.43,418.73,1111.8,1468.63,2020.91,1.51,6.32,6.32,1.51,1.4,101.27,,426.6,0.6,9.51,4,121.5,41,40.5,50,50,55,40.67,40.6,45.62,42.31,43,12,11,1,11,12,11
57,Bank of Baroda,153149.89,14.14,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,6.53,6.29,5.91,6.82,0.93,0.85,0.93,78264.92,69899.08,49942.17,38815.47,43201.18,50039.89,80914.32,1.48,1.54,,,BANKBARODA,532134,INE028A01039,2.16,2.5,3.32,2.28,-0.12,,,17.19,,0.11,5.6,14.14,15.67,14.18,8.54,1.87,1.21,6.53,6.82,1.11,1.13,0.97,0.58,0.12,0.07,-3.84,1.48,-3.5,13.55,39.51,,0.02,0,,282.95,63.97,0,0,0,0,0,38.68,37.2,9.93,6.71,10.48,10.08,10.36,2.32,3.32,15.18,28.82,36.29,40.06,40.06,42.35,38.83,9.07,139.94,642.37,-3.84,-4.15,47.99,17.65,5.7,8.86,,0.92,,13.23,0.61,4.39,1.17,9810.19,8428.79,8492.78,8585.63,9478.89,8431.72,11206.55,24125.92,22682.53,20469.86,37898.46,37542.82,30191.34,25.49,26.12,35.14,5133.56,3469.16,5419.7,5213.72,5355.1,4727.81,5132.45,4788.52,4458.41,5070.3,20716.33,18767.38,14905.2,7849.69,1547.67,927.75,-24.22,38226.84,34989.02,6694.97,5169.66,7433.75,27618.96,25799.35,23233,-9.65,24.79,26.48,16.79,10.56,15.41,13.24,14.67,19107.19,20003.88,20429.08,35.14,26.12,25.49,-9.65,-3.5,26.48,26.69,-2.07,26886.32,25476.2,27184.07,27078.05,26699.76,39236.34,39365.42,106624.64,25.75,0.7,0.7,,,,7754.28,,1.19,1.05,4,486.63,55.17,55.67,50,50,50,54.67,60.5,67.99,66.68,67.36,20,2,1,3,11,15
58,Muthoot Finance,152670.44,18.15,14.64,34.75,7.08,4.09,1.43,27.24,38.76,1941484.5,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,47.55,38.36,34.63,43.42,0,0,3.38,7412.3,5430.08,4209.18,4255.85,4099.93,3172.84,8936.91,2,2.12,1.72,2525.4,MUTHOOTFIN,533398,INE414G01012,0,0,0,0,0,20214.16,20214.16,,5352.36,0.68,41.17,18.15,17.22,16.67,21.38,24.42,26.52,47.55,43.42,4.01,4.48,4.5,5.26,5.54,5.71,56.12,2,,26.24,133.32,1.72,-0.2,-0.14,1.29,731.49,73.35,0,0,0,0,0,116.53,181.92,60.29,50.22,36.81,35.36,31.67,78.2,94.76,100.05,89.98,107.71,132.84,132.83,136.21,113.58,19.93,33.29,69.23,56.12,90.37,20.05,102.19,80.49,57.7,,4.73,4.73,9.26,2.08,-5.76,6.22,3042.81,2948.29,5803.23,5008.8,4046.95,3784.5,3605.09,9683.49,9263.14,7469.19,14683.97,11417.6,9132.78,79.68,77.65,73.14,2420.63,2016.2,1477.68,1389.18,1271.6,1164.03,1139.07,1103.52,1059.62,2411.66,5332.9,4324.29,3612.3,4016.62,3804.4,3138.24,60.97,12843.63,18643.49,3244.2,2654.03,1801.78,7266.01,5996.5,,6.54,72.25,75.3,25.8,31.26,33.24,28.52,29.76,4466.25,4678.23,4963.89,73.14,77.65,79.68,6.54,,75.3,75.96,0.37,5853.03,5043.69,4078.13,3816.45,3633.66,11518.69,14794.3,18791.31,72.79,61.08,61.08,73.18,72.61,12.66,3330.8,3143.4,1.87,5.2,4,1829.24,35.17,36.33,55,55,55,35.5,61.18,68.75,60.92,61.94,26,6,2,2,14,9
59,Bharat Petroleum ,151478.92,16.38,8.91,9.36,3.69,2.07,0.98,20.6,52.64,2171717.81,2879583.9,53.05,18.09,0.92,1.9,9.52,10.09,4.15,16.3,18.05,17.58,32.53,0.33,0.36,0.63,3591.44,4148.89,3745.38,2605.64,1723.41,2637.01,3166.94,7.82,11.16,4.45,805,BPCL,500547,INE029A01011,0,0,0,0,0,500517.48,440271.86,,12013.81,-24.83,0.48,16.38,35.51,3.98,22.5,30.18,8.36,16.3,32.53,6.1,13.26,1.13,6.22,10.04,2.02,79.19,7.82,,3.01,28.12,4.45,0.11,0.18,0.8,190.48,52.98,0,0,0,0,0,31.66,56.73,16.82,14.49,16.01,10.28,8.91,15.53,81.6,54.91,10.01,126.08,31.21,31.21,45.1,152.44,-70.41,-38.36,39.81,79.19,88.78,16.08,73.16,32.26,14.05,,0.27,0.27,0.36,0.66,6.4,0.34,5626.61,9157.53,11686.58,9761.18,9677.95,7736.51,7525.59,19137.34,21296.37,8349.02,25401.38,44082.03,10888.11,9.82,9.3,6.65,7188.4,6191.49,6839.02,4391.83,3805.94,2297.23,2841.55,4789.57,3181.42,6980.77,13336.55,26858.84,2131.05,11681.54,16164.98,3055.36,55.29,26826.81,38862.22,9529.56,7756.69,5402.81,16859.56,35128.91,,3.17,5.73,9.79,3.36,5.9,6.04,5.96,5.5,13109.77,13734.29,13336.55,6.65,9.3,9.82,3.17,,9.79,8.68,0.08,12165.59,10548.08,10360.28,8439.96,8073.89,46316.76,28086.1,41513.91,6.34,50.68,50.68,6.37,4.73,5.68,5400,7530,3.35,1.83,6,529.91,68.67,68.5,70,70,70,68.17,50.7,56.97,48.45,65.75,24,5,1,6,13,10
60,Tata Capital,149313.27,13.46,14.64,34.75,7.08,4.09,1.43,27.24,38.76,1941484.5,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,56.45,55.6,0,,0,,7.66,15029.64,,6600.64,,,,,1.35,,1.24,,TATACAP,544574,INE976I01016,0,,,0,0,28312.74,28312.74,,3657.6,0.92,,13.46,,17.54,,,,56.45,,1.47,,2.23,,,,,1.35,,12.92,9.72,1.24,-0.12,,1.14,72.35,85.41,,,,0,,0,,2.97,2.73,2.5,,,,,,8.4,,9.3,9.3,10.76,,,,,,,8.79,,,,,,,,,-5,,4264.53,0,5803.69,5601.82,5539.57,0,,,,,20283.67,,10607.88,72.77,72.4,,1256.87,1097.32,989.89,,,1075.72,461.66,,,1263.83,3664.66,,3029.2,,,,,0,16945.08,1693.78,1503.5,,4921.14,,,,71.5,,,14.18,15.76,,,,,,,72.4,72.77,,,,,,5763.06,5614.29,5566.41,0,,,20340.8,16943.76,71.7,,,71.84,70.46,,,,,5.49,2,,4,4.67,,,,4.33,27.97,31.43,34.37,29.82,9,6,1,3,2,9
61,IRFC,149177,12.34,16.02,56.19,1.87,1.86,1.29,13.55,47.67,457472.38,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,49.98,37.46,33.64,53.32,0,0,7.82,20495.09,20101.47,17447.21,14074.78,11237.05,10079.78,19477.2,1.32,1.32,1.32,,IRFC,543257,INE053F01010,0,0,0,0,0,27152.62,27152.62,,6502,0.64,-0.86,12.34,13.03,13.93,14.85,12.29,11.92,49.98,53.32,1.33,1.32,1.29,1.35,1.16,1.33,7.18,1.32,,23.94,4.98,1.32,0.02,0.02,1.1,40.3,86.36,0,0,0,0,0,5,5.36,1.38,1.36,1.34,1.29,1.25,3.93,3.66,4.66,4.85,4.91,4.98,4.98,4.98,4.91,1.34,6.62,60.2,7.18,10.4,1.47,4.67,3.11,,,5.98,5.98,20.94,1.58,18.13,5.59,6732.94,6438.9,6557.54,6322.73,6868.55,6678.96,6724.1,20176.63,15657.23,13772.59,26998.85,26512.46,23757.48,98.44,99.23,99.42,1802.19,1776.98,1745.69,1681.87,1630.65,1612.65,1576.83,1717.32,1604.23,1802.19,6502,6412.1,6337.01,6089.84,4416.13,3692.42,-2.48,26757.88,26427.78,1802.19,1776.98,1630.65,6502,6412.1,,-0.97,99.42,99.46,24.11,27.89,27.06,24.06,26.27,6511.03,6537.45,6502,99.42,99.23,98.44,-0.97,,99.46,99.09,2.97,6615.64,6322.75,6871.41,6679.53,6727.06,26523.02,27002.4,26489.33,99.43,-1.66,-1.66,99.44,99.42,21.05,,,0.56,2.83,8,72.02,38.83,38.33,70,70,70,37.33,32.99,37.07,44.38,38.85,11,12,1,2,8,14
62,Pidilite Industries,147354.81,21.28,14.12,18.19,9.72,7.89,2.44,47.52,52.5,508190.55,868678.4,51.46,41.53,17.59,6.31,12.97,16.66,8.76,27.05,25.24,24.59,26.93,0,0,0.02,50.35,51.19,47.64,42.08,37.23,33.6,53.85,64.74,55.61,43.19,13.5,PIDILITIND,500331,INE318A01026,0,0,0,0,0,13093.85,13093.85,,2099.45,3.21,9.13,21.28,20.57,17.65,18.85,20.22,25.05,27.05,26.93,14.81,14.28,12.09,12.69,12.81,17.08,16.42,64.74,,15.51,41.28,43.19,0.16,0.23,2.27,191.79,69.33,0,-0.27,-0.51,0,0,18.79,21.88,5.69,13.22,8.3,10.86,10.51,21.97,22.24,23.76,25.03,33.98,40.82,40.73,48.33,41.14,17.48,71.24,90.51,16.42,-45.86,-56.96,28.22,25.37,6.08,,11.03,11.03,11.03,6.74,64.44,10.66,576.93,742.45,850.73,940.98,632.58,798.38,768.81,1847.29,1680.62,1576.02,3012.51,2707.27,1984.37,23.93,25.07,23.77,579.23,672.41,422.34,552.42,534.56,566.92,300.5,510.48,450.15,584.95,2076.24,1729.38,1273.25,1207.56,1131.21,1116.42,10.66,2900.93,3222.67,787.66,916.24,726.32,2825.98,2383.4,,0.17,22.5,21.62,16.52,17.92,16.3,13.81,16.11,1828.05,1912.46,1954.4,23.77,25.07,23.93,0.17,,21.62,23.32,4.03,900.89,1026.69,688.04,854.16,825.93,2846.92,3259.73,3469.78,24.35,9.08,9.08,24.8,22.07,44.46,802.35,894.04,23,15.1,7,214.96,25.83,25.67,75,70,70,25.17,32.79,36.85,52.31,33.36,17,11,3,2,13,10
63,DLF,145659.72,10.26,11.92,11.6,5.63,4.4,5.37,37.19,48.19,677952.1,894342.42,43.25,37.52,4.81,3.7,11.23,10.89,4.96,6.26,5.37,5.03,5.43,0.04,0.06,0.09,397.2,356.45,392.14,624.55,853.36,1426.94,286.58,7.83,7.45,8.55,101.1,DLF,532868,INE271C01023,0,0,0,0,0,7946.6,7946.6,,2694.51,0.47,35.8,10.26,6.91,5.4,4.12,3.09,-1.69,6.26,5.43,6.28,4.52,3.77,2.85,1.99,-1.01,10.54,7.83,,48.55,10.89,8.55,0.08,0.04,1.85,171.9,74.08,0,0,0,0,0,16.18,17.89,4.86,4.77,3.08,5.18,4.28,-2.41,4.42,6.06,8.22,11.02,17.64,17.64,11.49,7.18,59.99,186.5,322.47,10.54,13.55,1.89,4.01,-5.17,,,21.07,21.07,21.01,2.23,27.82,15.32,228.62,754.11,389.87,283.56,364.16,977.99,399.99,1742.56,1417.8,1135,2108.64,2123.59,1725.88,19.3,17.26,26.17,1203.36,1180.09,762.67,1282.2,1058.73,1381.08,645.61,920.71,656.61,730.02,4367.62,2727.11,2035.83,1500.85,1093.6,-583.2,-2.53,1884.76,2015.58,722.6,1044.85,173.72,2260.62,2150.55,,-6.87,23.44,30.52,69.26,71.82,59.57,39.19,46.58,3604.01,4006.13,4367.62,26.17,17.26,19.3,-6.87,,30.52,21.2,3.12,789.04,1137.51,628.34,1198.18,306.36,2654.94,3110.87,3753.07,34.58,157.55,157.55,38.91,37.03,53.99,,313.9,3.95,3.42,7,264.44,32.17,31.5,70,70,70,32,32.26,36.25,32.45,39.66,18,10,4,5,10,13
